NOME_VIA;NOME_NORM
VIA MEDAGLIE D' ORO;Via Medaglie d'Oro
BORGO GIUSEPPE MAZZINI;Borgo Giuseppe Mazzini
VIA NICOLO' MAURO;Via Nicolò Mauro
VIA EDMONDO MATTER;Via Edmondo Matter
VIA MARZABOTTO;Via Marzabotto
VIA ARTURO MARTINI;Via Arturo Martini
VIA BERNARDINO MARIN;Via Bernardino Marin
VIA GUGLIELMO MARCONI;Via Guglielmo Marconi
VIA BENEDETTO MARCELLO;Via Benedetto Marcello
VIA ALESSANDRO MANZONI;Via Alessandro Manzoni
VIA FRANCESCO MANZATO;Via Francesco Manzato
VIA DOMENICO MANTOVANI ORSETTI;Via Domenico Mantovani Orsetti
VIA MALEVISTE;Via Maleviste
VIA PIETRO MAFFETTI;Via Pietro Maffetti
VIA ANTONIO CARLINI;Via Antonio Carlini
VIA RINALDO CARNIELLO;Via Rinaldo Carniello
VIA ANTONIO PAVAN;Via Antonio Pavan
VIA FORNACI;Via Fornaci
BORGO FIUME;Borgo Fiume
VIA BUCA DELL' OLIO;Via Buca dell'Olio
VICOLO B BOIAGO;Vicolo Boiago B
VICOLO A BOIAGO;Vicolo Boiago A
VICOLO DEL MORER;Vicolo del Morer
VIA DEI CAMPAZZI;Via dei Campazzi
VIA EMILIA;Via Emilia
VIA IRLANDA;Via Irlanda
VIA ROBERT EDWIN PEARY;Via Robert Edwin Peary
VIA ROBERT SCOTT;Via Robert Scott
