DEBUG;NOME_VIA;NOME_NORM;DIST
1;Via G. Festari;Via Girolamo Festari;0.666666666667
0;Via Giordano Umberto;Via Umberto Giordano;1.0
0;Viale Dieci Martiri;Viale Dieci Martiri;1.0
0;Via Ruspoli Bartolomeo;Via Bartolomeo Ruspoli;1.0
0;Via Martiri di Belfiore;Via Martiri di Belfiore;1.0
2;Svincolo Vicenza Est Dir. Venezia;Svincolo Vicenza Est Dir. Venezia;
1;Stradone di Nicolosi;Stradone dei Nicolosi;0.666666666667
2b;Strada delle Colombaretta;Strada della Colombaretta;0.92
1;Contrà Lodi;Contra' Lodi;1.0
1;Via F. Beggiato;Via Francesco Beggiato;0.666666666667
0;Via Lago d'Iseo;Via Lago d'Iseo;1.0
0;Via Luigi Malvezzi;Via Luigi Malvezzi;1.0
0;Via Orlando Vittorio Emanuele;Via Vittorio Emanuele Orlando;1.0
0;Piazzetta mons. Giuseppe Lorenzon;Piazzetta monsignor Giuseppe Lorenzon;1.0
0;Via del Commercio;Via del Commercio;1.0
1;Via Mentana;Via Mentana;1.0
1;Contra' Pasini;Contra' Pasini;1.0
0;Via Ugo Foscolo;Via Ugo Foscolo;1.0
0;Strada Biron di Sopra;Strada Biron di Sopra;1.0
0;Stradella dei Stalli;Stradella dei Stalli;1.0
0;Via Luigi Boccherini;Via Luigi Boccherini;1.0
0;Viale Jacopo Dal Verme;Viale Jacopo Dal Verme;1.0
